
=== ACCESOS PANEL — ZIMO ===
Producto,"Panel URL",Rol,"Nombre rol",Email,Contraseña,Notas
ZIMO,https://admin.appzimo.com,admin_total,"Admin Total",admin@zimo.app,PdP-Zimo-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
ZIMO,https://admin.appzimo.com,contabilidad,Contabilidad,contabilidad@zimo.app,PdP-Zimo-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
ZIMO,https://admin.appzimo.com,socio,Socio,socio@zimo.app,PdP-Zimo-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
ZIMO,https://admin.appzimo.com,desarrollador,Desarrollador,desarrollador@zimo.app,PdP-Zimo-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
ZIMO,https://admin.appzimo.com,aprobaciones,Aprobaciones,aprobaciones@zimo.app,PdP-Zimo-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
ZIMO,https://admin.appzimo.com,soporte,Soporte,soporte@zimo.app,PdP-Zimo-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
ZIMO,https://admin.appzimo.com,marketing,Marketing,marketing@zimo.app,PdP-Zimo-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"


=== ACCESOS PANEL — XISTI ===
Producto,"Panel URL",Rol,"Nombre rol",Email,Contraseña,Notas
XISTI,https://admin.xistiapp.com,admin_total,"Admin Total",admin@xistiapp.com,PdP-Xisti-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
XISTI,https://admin.xistiapp.com,contabilidad,Contabilidad,contabilidad@xistiapp.com,PdP-Xisti-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
XISTI,https://admin.xistiapp.com,socio,Socio,socio@xistiapp.com,PdP-Xisti-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
XISTI,https://admin.xistiapp.com,desarrollador,Desarrollador,desarrollador@xistiapp.com,PdP-Xisti-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
XISTI,https://admin.xistiapp.com,aprobaciones,Aprobaciones,aprobaciones@xistiapp.com,PdP-Xisti-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
XISTI,https://admin.xistiapp.com,soporte,Soporte,soporte@xistiapp.com,PdP-Xisti-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"
XISTI,https://admin.xistiapp.com,marketing,Marketing,marketing@xistiapp.com,PdP-Xisti-RBAC-2026!,"Creado por AdminRbacMockUsersSeeder; políticas vía AdminRbacMatrixSeeder"


=== CATÁLOGO DE SECCIONES ===
Producto,Modulo,Seccion,Virtual,Diferido
ZIMO,api-keys,"API keys",1,0
ZIMO,app-version-setting,"Versión de la app",0,0
ZIMO,audit-logs,Auditoría,1,0
ZIMO,cash-out-list,"Retiros (cash-out)",0,0
ZIMO,coupon-deals,"Cupones / deals",0,1
ZIMO,customer-list,Clientes,0,0
ZIMO,dashboard,Dashboard,1,0
ZIMO,driver-documents,"Documentos requeridos",0,0
ZIMO,drivers-moderation,"Moderación de conductores",0,0
ZIMO,earning-report,"Reporte de ganancias",0,0
ZIMO,email-templates,"Plantillas de email",0,0
ZIMO,geo-fencing-list,Geo-fencing,0,0
ZIMO,gods-view,"God's View",0,0
ZIMO,heat-map,"Mapa de calor",0,0
ZIMO,pending-delivery-person-list,"Repartidores pendientes",0,0
ZIMO,pending-provider-list,"Proveedores pendientes (legacy)",1,0
ZIMO,pending-transport-provider-list,"Conductores pendientes",0,0
ZIMO,promotions,Promociones,0,1
ZIMO,push-notification,"Notificaciones push",0,0
ZIMO,referral-history,Referidos,0,0
ZIMO,report-issue,"Reportar problema",0,0
ZIMO,ride-list,Viajes,0,0
ZIMO,search-radius,"Radio de búsqueda",0,0
ZIMO,security,Seguridad,1,0
ZIMO,service-settings,"Configuración de servicio",0,0
ZIMO,site-setting,"Configuración del sitio",0,0
ZIMO,sos-list,SOS,0,0
ZIMO,support-page-list,"Páginas de soporte",0,0
ZIMO,transport-providers-list,"Conductores (aprobados)",0,0
ZIMO,vehicle-commission-rates,"Comisiones por vehículo",0,0
ZIMO,vehicle-services,"Servicios de vehículo",0,0
ZIMO,vehicle-type,"Tipos de vehículo",0,0
ZIMO,world-currency-list,Monedas,0,0


=== MATRIZ COMPLETA — ZIMO (todos los roles × todas las secciones) ===
Producto,Rol,Modulo,Seccion,En_Menu,Ver,Crear,Editar,Eliminar,Aprobar,Exportar,Configurar,Virtual,Diferido
ZIMO,admin_total,*,"Todos los módulos activos",1,1,1,1,1,1,1,1,0,0
ZIMO,contabilidad,api-keys,"API keys",0,0,0,0,0,0,0,0,1,0
ZIMO,contabilidad,app-version-setting,"Versión de la app",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,audit-logs,Auditoría,0,0,0,0,0,0,0,0,1,0
ZIMO,contabilidad,cash-out-list,"Retiros (cash-out)",1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,coupon-deals,"Cupones / deals",0,0,0,0,0,0,0,0,0,1
ZIMO,contabilidad,customer-list,Clientes,0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,dashboard,Dashboard,0,1,0,0,0,0,1,0,1,0
ZIMO,contabilidad,driver-documents,"Documentos requeridos",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,drivers-moderation,"Moderación de conductores",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,earning-report,"Reporte de ganancias",1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,email-templates,"Plantillas de email",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,geo-fencing-list,Geo-fencing,0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,gods-view,"God's View",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,heat-map,"Mapa de calor",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,pending-delivery-person-list,"Repartidores pendientes",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,pending-provider-list,"Proveedores pendientes (legacy)",0,0,0,0,0,0,0,0,1,0
ZIMO,contabilidad,pending-transport-provider-list,"Conductores pendientes",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,promotions,Promociones,0,0,0,0,0,0,0,0,0,1
ZIMO,contabilidad,push-notification,"Notificaciones push",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,referral-history,Referidos,1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,report-issue,"Reportar problema",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,ride-list,Viajes,0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,search-radius,"Radio de búsqueda",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,security,Seguridad,0,0,0,0,0,0,0,0,1,0
ZIMO,contabilidad,service-settings,"Configuración de servicio",1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,site-setting,"Configuración del sitio",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,sos-list,SOS,0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,support-page-list,"Páginas de soporte",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,transport-providers-list,"Conductores (aprobados)",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,vehicle-commission-rates,"Comisiones por vehículo",1,1,0,0,0,0,1,0,0,0
ZIMO,contabilidad,vehicle-services,"Servicios de vehículo",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,vehicle-type,"Tipos de vehículo",0,0,0,0,0,0,0,0,0,0
ZIMO,contabilidad,world-currency-list,Monedas,1,1,0,0,0,0,1,0,0,0
ZIMO,socio,api-keys,"API keys",0,0,0,0,0,0,0,0,1,0
ZIMO,socio,app-version-setting,"Versión de la app",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,audit-logs,Auditoría,0,0,0,0,0,0,0,0,1,0
ZIMO,socio,cash-out-list,"Retiros (cash-out)",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,coupon-deals,"Cupones / deals",0,0,0,0,0,0,0,0,0,1
ZIMO,socio,customer-list,Clientes,1,1,0,1,0,0,0,0,0,0
ZIMO,socio,dashboard,Dashboard,0,1,0,1,0,0,0,0,1,0
ZIMO,socio,driver-documents,"Documentos requeridos",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,drivers-moderation,"Moderación de conductores",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,earning-report,"Reporte de ganancias",1,1,0,1,0,0,0,0,0,0
ZIMO,socio,email-templates,"Plantillas de email",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,geo-fencing-list,Geo-fencing,0,0,0,0,0,0,0,0,0,0
ZIMO,socio,gods-view,"God's View",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,heat-map,"Mapa de calor",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,pending-delivery-person-list,"Repartidores pendientes",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,pending-provider-list,"Proveedores pendientes (legacy)",0,0,0,0,0,0,0,0,1,0
ZIMO,socio,pending-transport-provider-list,"Conductores pendientes",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,promotions,Promociones,0,0,0,0,0,0,0,0,0,1
ZIMO,socio,push-notification,"Notificaciones push",0,0,0,0,0,0,0,0,0,0
ZIMO,socio,referral-history,Referidos,0,0,0,0,0,0,0,0,0,0
